Date,Temperature(F),Humidity
2020-03-04 18:26:05,73.4*F
2020-03-04 18:26:25,73.4*F
2020-03-04 18:44:35,75.2*F
2020-03-09 14:01:55,51.8*F
2020-03-11 12:31:55,68.0*F
2020-03-11 13:31:03,('50.0*F', '155.0%')
2020-03-11 13:31:30,('50.0*F', '155.0%')
2020-03-11 13:31:54,('68.0*F', '55.0%')
2020-03-11 13:32:07,('68.0*F', '57.0%')
2020-03-11 13:32:16,('68.0*F', '57.0%')
2020-03-11 13:32:27,('68.0*F', '57.0%')
2020-03-11 13:32:36,('68.0*F', '55.0%')
2020-03-11 13:54:33,('68.0*F', '59.0%')
2020-03-11 14:12:25,('50.0*F', '156.0%')
2020-03-11 14:13:39,('69.8*F', '57.0%')
2020-03-11 14:13:45,('69.8*F', '57.0%')
2020-03-11 14:13:57,('69.8*F', '60.0%')
2020-03-11 14:17:16,('50.0*F', '158.0%')
2020-03-11 14:22:34,('69.8*F', '58.0%')
2020-03-11 14:23:35,('69.8*F', '58.0%')
2020-03-11 14:24:36,('69.8*F', '58.0%')
